dataset,quality,beta,bpp,PSNR,LPIPS,DISTS
kodak,0.0,3.84,0.10944959852430554,27.44512440303645,0.09632455992201965,0.10402686645587285
kodak,0.25,3.84,0.12799750434027776,27.983326373540848,0.0865238350816071,0.09613654762506485
kodak,0.5,3.84,0.1496819390190972,28.521135779315376,0.07645793166011572,0.0890517458319664
kodak,0.75,3.84,0.1750115288628472,29.04936933513974,0.0672486483429869,0.0819589098294576
kodak,1.0,3.84,0.20434231228298613,29.522173677769104,0.05910041214277347,0.07401880870262782
kodak,1.25,3.84,0.24318440755208334,30.23292431146874,0.05159066889124612,0.06666624297698338
kodak,1.5,3.84,0.2883775499131944,30.91069004819036,0.04434829795112213,0.05997471263011297
kodak,1.75,3.84,0.3410746256510417,31.55894526963358,0.038677218447749816,0.053242248793443046
kodak,2.0,3.84,0.4024319118923611,32.161724751151475,0.033128466845179595,0.04619075606266657
kodak,2.25,3.84,0.4688212076822917,32.93325164813357,0.028488255416353542,0.04054503391186396
kodak,2.5,3.84,0.5468614366319445,33.62221089541375,0.02450889302417636,0.03562727073828379
kodak,2.75,3.84,0.6355116102430555,34.34459789210924,0.02065889599422614,0.03164116541544596
kodak,3.0,3.84,0.7329271104600695,34.95831653204238,0.017317384481430054,0.026624158024787903
kodak,3.25,3.84,0.803741455078125,35.47047654391623,0.015613634022884071,0.024147823452949524
kodak,3.5,3.84,0.8802117241753473,35.9437932483905,0.014145728394699594,0.022146950165430706
kodak,3.75,3.84,0.9620293511284723,36.34759999964957,0.013069000269751996,0.01960599919160207
kodak,4.0,3.84,1.0503268771701388,36.6079321161863,0.011918710350679854,0.017949894070625305
kodak,0.0,0.0,0.10944959852430554,28.132903892343837,0.26412600465118885,0.19738414138555527
kodak,0.25,0.0,0.12799750434027776,28.629166604112726,0.2421159390360117,0.18646716823180517
kodak,0.5,0.0,0.1496819390190972,29.146225020133986,0.21887664900471768,0.1750767007470131
kodak,0.75,0.0,0.1750115288628472,29.692846777045816,0.19586065908273062,0.16253517071406046
kodak,1.0,0.0,0.20434231228298613,30.229170989194028,0.17244519324352345,0.15140919387340546
kodak,1.25,0.0,0.24318440755208334,30.8740433495967,0.15262693104644617,0.13920210053523382
kodak,1.5,0.0,0.2883775499131944,31.537839258400552,0.13351831833521524,0.1276372348268827
kodak,1.75,0.0,0.3410746256510417,32.22766197964378,0.11619545426219702,0.11497410386800766
kodak,2.0,0.0,0.4024319118923611,32.9378963432501,0.09924135869368911,0.10299526403347652
kodak,2.25,0.0,0.4688212076822917,33.59646742033496,0.08607323203856747,0.09297478944063187
kodak,2.5,0.0,0.5468614366319445,34.26281255683568,0.07405387881832819,0.08317867666482925
kodak,2.75,0.0,0.6355116102430555,35.051916905474734,0.06306936196051538,0.07560894886652629
kodak,3.0,0.0,0.7329271104600695,35.79082705125011,0.052336519778085254,0.06601325422525406
kodak,3.25,0.0,0.803741455078125,36.27587351403659,0.04809410210388402,0.0611055518190066
kodak,3.5,0.0,0.8802117241753473,36.75245926841088,0.04389523121062666,0.05632736533880234
kodak,3.75,0.0,0.9620293511284723,37.20625086188489,0.04005338946202149,0.051107081274191536
kodak,4.0,0.0,1.0503268771701388,37.64048442231425,0.03646302743194004,0.04693621148665746
